Age,Sex,province,education,total_count,education_level
25 to 34,Male,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",432175,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Canada,University certificate or diploma below bachelor level (2016 counts),52135,University certificate or diploma below bachelor level
25 to 34,Female,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2311610,"Highest certificate, diploma or degree"
25 to 34,Female,Canada,"No certificate, diploma or degree (2016 counts)",162905,Other
25 to 34,Female,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),433905,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Canada,Apprenticeship or trades certificate or diploma (2016 counts),144915,Apprenticeship or trades certificate or diploma
25 to 34,Female,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",555410,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Canada,University certificate or diploma below bachelor level (2016 counts),73350,University certificate or diploma below bachelor level
35 to 44,Both sexes,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",4507775,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Canada,"No certificate, diploma or degree (2016 counts)",395425,Other
35 to 44,Both sexes,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),926885,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Canada,Apprenticeship or trades certificate or diploma (2016 counts),467345,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1065970,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Canada,University certificate or diploma below bachelor level (2016 counts),145130,University certificate or diploma below bachelor level
35 to 44,Male,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2195070,"Highest certificate, diploma or degree"
35 to 44,Male,Canada,"No certificate, diploma or degree (2016 counts)",225525,Other
35 to 44,Male,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),502430,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Canada,Apprenticeship or trades certificate or diploma (2016 counts),310500,Apprenticeship or trades certificate or diploma
35 to 44,Male,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",454280,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Canada,University certificate or diploma below bachelor level (2016 counts),59950,University certificate or diploma below bachelor level
35 to 44,Female,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2312700,"Highest certificate, diploma or degree"
35 to 44,Female,Canada,"No certificate, diploma or degree (2016 counts)",169900,Other
35 to 44,Female,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),424450,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Canada,Apprenticeship or trades certificate or diploma (2016 counts),156845,Apprenticeship or trades certificate or diploma
35 to 44,Female,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",611690,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Canada,University certificate or diploma below bachelor level (2016 counts),85175,University certificate or diploma below bachelor level
45 to 54,Both sexes,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",4991975,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Canada,"No certificate, diploma or degree (2016 counts)",588625,Other
45 to 54,Both sexes,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),1196545,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Canada,Apprenticeship or trades certificate or diploma (2016 counts),558970,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1175555,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,Canada,University certificate or diploma below bachelor level (2016 counts),160900,University certificate or diploma below bachelor level
45 to 54,Male,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2442660,"Highest certificate, diploma or degree"
45 to 54,Male,Canada,"No certificate, diploma or degree (2016 counts)",327465,Other
45 to 54,Male,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),578810,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,Canada,Apprenticeship or trades certificate or diploma (2016 counts),366765,Apprenticeship or trades certificate or diploma
45 to 54,Male,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",482570,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,Canada,University certificate or diploma below bachelor level (2016 counts),65535,University certificate or diploma below bachelor level
45 to 54,Female,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2549315,"Highest certificate, diploma or degree"
45 to 54,Female,Canada,"No certificate, diploma or degree (2016 counts)",261160,Other
45 to 54,Female,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),617735,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,Canada,Apprenticeship or trades certificate or diploma (2016 counts),192210,Apprenticeship or trades certificate or diploma
45 to 54,Female,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",692990,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Canada,University certificate or diploma below bachelor level (2016 counts),95360,University certificate or diploma below bachelor level
55 to 64,Both sexes,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",4855055,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Canada,"No certificate, diploma or degree (2016 counts)",787270,Other
55 to 64,Both sexes,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),1363455,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Canada,Apprenticeship or trades certificate or diploma (2016 counts),558355,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1012875,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Canada,University certificate or diploma below bachelor level (2016 counts),149370,University certificate or diploma below bachelor level
55 to 64,Male,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2365860,"Highest certificate, diploma or degree"
55 to 64,Male,Canada,"No certificate, diploma or degree (2016 counts)",411550,Other
55 to 64,Male,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),591990,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Canada,Apprenticeship or trades certificate or diploma (2016 counts),387665,Apprenticeship or trades certificate or diploma
55 to 64,Male,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",417040,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Canada,University certificate or diploma below bachelor level (2016 counts),62410,University certificate or diploma below bachelor level
55 to 64,Female,Canada,"Total - Highest certificate, diploma or degree (2016 counts)",2489200,"Highest certificate, diploma or degree"
55 to 64,Female,Canada,"No certificate, diploma or degree (2016 counts)",375730,Other
55 to 64,Female,Canada,Secondary (high) school diploma or equivalency certificate (2016 counts),771475,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Canada,Apprenticeship or trades certificate or diploma (2016 counts),170690,Apprenticeship or trades certificate or diploma
55 to 64,Female,Canada,"College, CEGEP or other non-university certificate or diploma (2016 counts)",595835,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,Canada,University certificate or diploma below bachelor level (2016 counts),86965,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",437935,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",102665,Other
"All ages, 15-plus",Both sexes,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),109480,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),49435,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",101250,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),10400,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",212780,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",51170,Other
"All ages, 15-plus",Male,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),50205,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),36325,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",42910,"College, CEGEP or other non-university certificate or diploma"
