Age,Sex,province,education,total_count,education_level
45 to 54,Female,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),525,Apprenticeship or trades certificate or diploma
45 to 54,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",3730,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),345,University certificate or diploma below bachelor level
55 to 64,Both sexes,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",21760,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",3970,Other
55 to 64,Both sexes,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),5705,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),2390,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",5450,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),650,University certificate or diploma below bachelor level
55 to 64,Male,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",10360,"Highest certificate, diploma or degree"
55 to 64,Male,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",2315,Other
55 to 64,Male,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),2650,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),1735,Apprenticeship or trades certificate or diploma
55 to 64,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1865,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),225,University certificate or diploma below bachelor level
55 to 64,Female,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",11400,"Highest certificate, diploma or degree"
55 to 64,Female,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",1655,Other
55 to 64,Female,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),3055,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),660,Apprenticeship or trades certificate or diploma
55 to 64,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",3590,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),430,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",774750,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Nova Scotia,"No certificate, diploma or degree (2016 counts)",153705,Other
"All ages, 15-plus",Both sexes,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),195905,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),76810,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",168800,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),18385,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",372455,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Nova Scotia,"No certificate, diploma or degree (2016 counts)",79880,Other
"All ages, 15-plus",Male,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),95205,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),54075,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",67030,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),6970,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",402295,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Nova Scotia,"No certificate, diploma or degree (2016 counts)",73825,Other
"All ages, 15-plus",Female,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),100695,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),22735,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",101775,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),11410,University certificate or diploma below bachelor level
25 to 64,Both sexes,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",494510,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Nova Scotia,"No certificate, diploma or degree (2016 counts)",60280,Other
25 to 64,Both sexes,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),116280,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),52375,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",128010,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),11595,University certificate or diploma below bachelor level
25 to 64,Male,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",237795,"Highest certificate, diploma or degree"
25 to 64,Male,Nova Scotia,"No certificate, diploma or degree (2016 counts)",34820,Other
25 to 64,Male,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),57600,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),37255,Apprenticeship or trades certificate or diploma
25 to 64,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",51890,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),4325,University certificate or diploma below bachelor level
25 to 64,Female,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",256710,"Highest certificate, diploma or degree"
25 to 64,Female,Nova Scotia,"No certificate, diploma or degree (2016 counts)",25460,Other
25 to 64,Female,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),58680,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),15115,Apprenticeship or trades certificate or diploma
25 to 64,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",76120,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),7275,University certificate or diploma below bachelor level
25 to 34,Both sexes,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",104665,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Nova Scotia,"No certificate, diploma or degree (2016 counts)",7730,Other
25 to 34,Both sexes,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),25715,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),8205,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",25990,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),1775,University certificate or diploma below bachelor level
25 to 34,Male,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",50930,"Highest certificate, diploma or degree"
25 to 34,Male,Nova Scotia,"No certificate, diploma or degree (2016 counts)",4845,Other
25 to 34,Male,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),14595,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),5850,Apprenticeship or trades certificate or diploma
25 to 34,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",11285,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),750,University certificate or diploma below bachelor level
25 to 34,Female,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",53730,"Highest certificate, diploma or degree"
25 to 34,Female,Nova Scotia,"No certificate, diploma or degree (2016 counts)",2885,Other
25 to 34,Female,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),11125,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),2360,Apprenticeship or trades certificate or diploma
25 to 34,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",14705,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),1025,University certificate or diploma below bachelor level
35 to 44,Both sexes,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",108295,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Nova Scotia,"No certificate, diploma or degree (2016 counts)",8835,Other
35 to 44,Both sexes,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),23750,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),9600,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",30525,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),2155,University certificate or diploma below bachelor level
35 to 44,Male,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",51300,"Highest certificate, diploma or degree"
35 to 44,Male,Nova Scotia,"No certificate, diploma or degree (2016 counts)",5420,Other
35 to 44,Male,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),12850,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),6675,Apprenticeship or trades certificate or diploma
35 to 44,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",12680,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),840,University certificate or diploma below bachelor level
35 to 44,Female,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",57000,"Highest certificate, diploma or degree"
35 to 44,Female,Nova Scotia,"No certificate, diploma or degree (2016 counts)",3420,Other
35 to 44,Female,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),10905,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),2925,Apprenticeship or trades certificate or diploma
35 to 44,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",17840,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),1315,University certificate or diploma below bachelor level
45 to 54,Both sexes,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",136475,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Nova Scotia,"No certificate, diploma or degree (2016 counts)",17775,Other
45 to 54,Both sexes,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),30735,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),16265,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",37730,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),3535,University certificate or diploma below bachelor level
45 to 54,Male,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",65670,"Highest certificate, diploma or degree"
45 to 54,Male,Nova Scotia,"No certificate, diploma or degree (2016 counts)",10545,Other
45 to 54,Male,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),14425,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),11400,Apprenticeship or trades certificate or diploma
45 to 54,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",14785,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),1300,University certificate or diploma below bachelor level
45 to 54,Female,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",70805,"Highest certificate, diploma or degree"
45 to 54,Female,Nova Scotia,"No certificate, diploma or degree (2016 counts)",7235,Other
45 to 54,Female,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),16305,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),4865,Apprenticeship or trades certificate or diploma
45 to 54,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",22945,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),2235,University certificate or diploma below bachelor level
55 to 64,Both sexes,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",145075,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Nova Scotia,"No certificate, diploma or degree (2016 counts)",25940,Other
55 to 64,Both sexes,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),36075,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),18300,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",33765,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),4130,University certificate or diploma below bachelor level
55 to 64,Male,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",69895,"Highest certificate, diploma or degree"
55 to 64,Male,Nova Scotia,"No certificate, diploma or degree (2016 counts)",14015,Other
55 to 64,Male,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),15730,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),13330,Apprenticeship or trades certificate or diploma
55 to 64,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",13140,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),1435,University certificate or diploma below bachelor level
55 to 64,Female,Nova Scotia,"Total - Highest certificate, diploma or degree (2016 counts)",75180,"Highest certificate, diploma or degree"
55 to 64,Female,Nova Scotia,"No certificate, diploma or degree (2016 counts)",11925,Other
55 to 64,Female,Nova Scotia,Secondary (high) school diploma or equivalency certificate (2016 counts),20345,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Nova Scotia,Apprenticeship or trades certificate or diploma (2016 counts),4970,Apprenticeship or trades certificate or diploma
55 to 64,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",20630,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,Nova Scotia,University certificate or diploma below bachelor level (2016 counts),2700,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",620395,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,New Brunswick,"No certificate, diploma or degree (2016 counts)",136745,Other
"All ages, 15-plus",Both sexes,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),176750,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),56595,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",135060,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,New Brunswick,University certificate or diploma below bachelor level (2016 counts),11615,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",301650,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,New Brunswick,"No certificate, diploma or degree (2016 counts)",71600,Other
"All ages, 15-plus",Male,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),85345,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),39965,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",56055,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,New Brunswick,University certificate or diploma below bachelor level (2016 counts),3990,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",318745,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,New Brunswick,"No certificate, diploma or degree (2016 counts)",65145,Other
"All ages, 15-plus",Female,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),91405,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),16635,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",79000,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,New Brunswick,University certificate or diploma below bachelor level (2016 counts),7620,University certificate or diploma below bachelor level
25 to 64,Both sexes,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",400785,"Highest certificate, diploma or degree"
25 to 64,Both sexes,New Brunswick,"No certificate, diploma or degree (2016 counts)",55640,Other
25 to 64,Both sexes,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),114330,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),37710,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",104595,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,New Brunswick,University certificate or diploma below bachelor level (2016 counts),7680,University certificate or diploma below bachelor level
25 to 64,Male,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",194710,"Highest certificate, diploma or degree"
25 to 64,Male,New Brunswick,"No certificate, diploma or degree (2016 counts)",32390,Other
25 to 64,Male,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),56430,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),26335,Apprenticeship or trades certificate or diploma
25 to 64,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",43700,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,New Brunswick,University certificate or diploma below bachelor level (2016 counts),2665,University certificate or diploma below bachelor level
25 to 64,Female,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",206075,"Highest certificate, diploma or degree"
25 to 64,Female,New Brunswick,"No certificate, diploma or degree (2016 counts)",23255,Other
25 to 64,Female,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),57900,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),11375,Apprenticeship or trades certificate or diploma
25 to 64,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",60895,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,New Brunswick,University certificate or diploma below bachelor level (2016 counts),5020,University certificate or diploma below bachelor level
25 to 34,Both sexes,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",79865,"Highest certificate, diploma or degree"
25 to 34,Both sexes,New Brunswick,"No certificate, diploma or degree (2016 counts)",6320,Other
25 to 34,Both sexes,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),22020,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),6150,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",22800,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,New Brunswick,University certificate or diploma below bachelor level (2016 counts),975,University certificate or diploma below bachelor level
25 to 34,Male,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",39175,"Highest certificate, diploma or degree"
25 to 34,Male,New Brunswick,"No certificate, diploma or degree (2016 counts)",3895,Other
25 to 34,Male,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),12840,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),4130,Apprenticeship or trades certificate or diploma
25 to 34,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",9960,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,New Brunswick,University certificate or diploma below bachelor level (2016 counts),395,University certificate or diploma below bachelor level
25 to 34,Female,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",40695,"Highest certificate, diploma or degree"
25 to 34,Female,New Brunswick,"No certificate, diploma or degree (2016 counts)",2430,Other
25 to 34,Female,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),9180,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),2020,Apprenticeship or trades certificate or diploma
25 to 34,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",12840,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,New Brunswick,University certificate or diploma below bachelor level (2016 counts),575,University certificate or diploma below bachelor level
35 to 44,Both sexes,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",91920,"Highest certificate, diploma or degree"
35 to 44,Both sexes,New Brunswick,"No certificate, diploma or degree (2016 counts)",7790,Other
35 to 44,Both sexes,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),23750,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),7265,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",28640,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,New Brunswick,University certificate or diploma below bachelor level (2016 counts),1700,University certificate or diploma below bachelor level
35 to 44,Male,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",44735,"Highest certificate, diploma or degree"
35 to 44,Male,New Brunswick,"No certificate, diploma or degree (2016 counts)",4990,Other
35 to 44,Male,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),12890,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),5090,Apprenticeship or trades certificate or diploma
35 to 44,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",12335,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,New Brunswick,University certificate or diploma below bachelor level (2016 counts),650,University certificate or diploma below bachelor level
35 to 44,Female,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",47185,"Highest certificate, diploma or degree"
35 to 44,Female,New Brunswick,"No certificate, diploma or degree (2016 counts)",2800,Other
35 to 44,Female,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),10855,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),2175,Apprenticeship or trades certificate or diploma
35 to 44,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",16305,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,New Brunswick,University certificate or diploma below bachelor level (2016 counts),1050,University certificate or diploma below bachelor level
45 to 54,Both sexes,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",111000,"Highest certificate, diploma or degree"
45 to 54,Both sexes,New Brunswick,"No certificate, diploma or degree (2016 counts)",15870,Other
45 to 54,Both sexes,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),32280,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),11170,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",28710,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,New Brunswick,University certificate or diploma below bachelor level (2016 counts),2470,University certificate or diploma below bachelor level
45 to 54,Male,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",53620,"Highest certificate, diploma or degree"
45 to 54,Male,New Brunswick,"No certificate, diploma or degree (2016 counts)",9530,Other
45 to 54,Male,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),15320,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),7545,Apprenticeship or trades certificate or diploma
45 to 54,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",11595,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,New Brunswick,University certificate or diploma below bachelor level (2016 counts),745,University certificate or diploma below bachelor level
45 to 54,Female,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",57375,"Highest certificate, diploma or degree"
45 to 54,Female,New Brunswick,"No certificate, diploma or degree (2016 counts)",6335,Other
45 to 54,Female,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),16960,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),3630,Apprenticeship or trades certificate or diploma
45 to 54,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",17110,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,New Brunswick,University certificate or diploma below bachelor level (2016 counts),1720,University certificate or diploma below bachelor level
55 to 64,Both sexes,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",118000,"Highest certificate, diploma or degree"
55 to 64,Both sexes,New Brunswick,"No certificate, diploma or degree (2016 counts)",25655,Other
55 to 64,Both sexes,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),36285,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),13125,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",24450,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,New Brunswick,University certificate or diploma below bachelor level (2016 counts),2535,University certificate or diploma below bachelor level
55 to 64,Male,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",57180,"Highest certificate, diploma or degree"
55 to 64,Male,New Brunswick,"No certificate, diploma or degree (2016 counts)",13965,Other
55 to 64,Male,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),15385,Secondary (high) school diploma or equivalency certificate
